timestamp,accX,accY,accZ
0,3.4911673999999997,-9.2967042,-0.9414384
10,3.6480737999999997,-9.218251,-1.0198916
20,3.4911673999999997,-9.218251,-0.784532
30,3.6480737999999997,-9.2574776,-1.0591182
40,3.4127142,-9.3359308,-0.784532
50,3.4911673999999997,-9.2574776,-0.784532
60,3.5696205999999995,-9.2967042,-0.9022117999999999
70,3.6088471999999996,-9.3359308,-0.980665
80,3.530394,-9.2574776,-0.980665
90,3.6480737999999997,-9.2574776,-0.5491724
100,3.5696205999999995,-9.2574776,-1.2160246
110,3.4519407999999996,-9.1790244,-0.7060788
120,3.4127142,-9.2967042,-0.784532
130,3.5696205999999995,-9.218251,-0.9414384
140,3.6088471999999996,-9.2574776,-0.9022117999999999
150,3.6088471999999996,-9.2574776,-0.9414384
160,3.4911673999999997,-9.2574776,-0.8237586
170,3.5696205999999995,-9.2967042,-0.9414384
180,3.530394,-9.218251,-0.7060788
190,3.530394,-9.2967042,-0.8237586
200,3.4911673999999997,-9.2574776,-0.9414384
210,3.4911673999999997,-9.2967042,-0.7060788
220,3.6480737999999997,-9.218251,-0.980665
230,3.6480737999999997,-9.1790244,-0.9022117999999999
240,3.5696205999999995,-9.218251,-0.9414384
250,3.4127142,-9.2967042,-0.8629851999999999
260,3.6088471999999996,-9.2574776,-0.784532
270,3.6480737999999997,-9.218251,-0.9414384
280,3.3734876000000003,-9.3359308,-0.6276256
290,3.530394,-9.2574776,-0.9414384
300,3.4911673999999997,-9.2574776,-0.7453053999999999
310,3.6088471999999996,-9.1790244,-0.8629851999999999
320,3.530394,-9.2574776,-0.980665
330,3.4911673999999997,-9.2967042,-0.7060788
340,3.5696205999999995,-9.1790244,-0.9022117999999999
350,3.5696205999999995,-9.1790244,-0.9022117999999999
360,3.4127142,-9.2574776,-0.7060788
370,3.726527,-9.1790244,-0.9022117999999999
380,3.4127142,-9.2967042,-0.8629851999999999
390,3.530394,-9.1397978,-0.5883989999999999
400,3.530394,-9.218251,-1.0983448
410,3.334261,-9.2574776,-0.7060788
420,3.4127142,-9.2574776,-0.9414384
430,3.4519407999999996,-9.2574776,-0.8237586
440,3.6480737999999997,-9.1790244,-0.8629851999999999
450,3.4911673999999997,-9.218251,-0.7453053999999999
460,3.5696205999999995,-9.2574776,-0.9022117999999999
470,3.530394,-9.2574776,-0.9414384
480,3.4519407999999996,-9.2967042,-0.6276256
490,3.6088471999999996,-9.2574776,-0.6276256
500,3.334261,-9.3751574,-0.8629851999999999
510,3.7657536,-9.218251,-1.0198916
520,3.4911673999999997,-9.2967042,-0.8629851999999999
530,3.5696205999999995,-9.218251,-0.9022117999999999
540,3.3734876000000003,-9.2967042,-0.784532
550,3.530394,-9.2574776,-0.784532
560,3.5696205999999995,-9.218251,-0.9414384
570,3.3734876000000003,-9.2967042,-0.7453053999999999
580,3.6480737999999997,-9.2967042,-0.980665
590,3.4911673999999997,-9.218251,-0.7453053999999999
600,3.6480737999999997,-9.1790244,-0.9414384
610,3.5696205999999995,-9.2967042,-0.8237586
620,3.4127142,-9.2574776,-0.5491724
630,3.6873004,-9.2967042,-1.0591182
640,3.530394,-9.2574776,-0.784532
650,3.726527,-9.218251,-1.0591182
660,3.4127142,-9.2967042,-0.7060788
670,3.6873004,-9.2574776,-0.9022117999999999
680,3.530394,-9.2967042,-0.8629851999999999
690,3.4127142,-9.218251,-0.7453053999999999
700,3.4519407999999996,-9.2967042,-0.9022117999999999
710,3.6873004,-9.2574776,-0.9022117999999999
720,3.6088471999999996,-9.2574776,-0.9022117999999999
730,3.4519407999999996,-9.2967042,-0.7453053999999999
740,3.6088471999999996,-9.3359308,-1.0198916
750,3.4519407999999996,-9.2574776,-0.6668522
760,3.530394,-9.218251,-0.9022117999999999
770,3.4911673999999997,-9.2967042,-0.8237586
780,3.4127142,-9.2967042,-0.9022117999999999
790,3.726527,-9.2574776,-0.9414384
800,3.726527,-9.2574776,-0.9414384
810,3.5696205999999995,-9.2967042,-0.9022117999999999
820,3.530394,-9.2967042,-0.784532
830,3.334261,-9.2574776,-0.9414384
840,3.6088471999999996,-9.1397978,-0.8237586
850,3.4127142,-9.1790244,-0.980665
860,3.4911673999999997,-9.3359308,-0.8237586
870,3.6088471999999996,-9.1397978,-1.1375714
880,3.530394,-9.2967042,-0.784532
890,3.6088471999999996,-9.1790244,-0.8237586
900,3.4519407999999996,-9.3359308,-0.8629851999999999
910,3.4911673999999997,-9.218251,-0.784532
920,3.4911673999999997,-9.1790244,-0.784532
930,3.6480737999999997,-9.2574776,-0.9022117999999999
940,3.530394,-9.3359308,-0.9022117999999999
950,3.4127142,-9.218251,-0.784532
960,3.6480737999999997,-9.1397978,-0.9414384
970,3.4127142,-9.2967042,-0.7453053999999999
980,3.4911673999999997,-9.2967042,-0.784532
990,3.5696205999999995,-9.2574776,-0.7453053999999999

