timestamp,accX,accY,accZ
0,-9.1005712,-2.157463,-3.726527
10,-9.218251,-2.2751428,-2.8635417999999997
20,-9.1005712,-2.157463,-3.8834334
30,-9.1397978,-2.1966896,-4.158019599999999
40,-9.1790244,-2.3535959999999996,-3.5696205999999995
50,-9.1790244,-2.2751428,-3.2558078
60,-9.1005712,-2.1182364,-3.8834334
70,-8.9828914,-2.1966896,-3.8442068
80,-9.2574776,-2.157463,-3.2558078
90,-9.218251,-2.2359162,-3.6480737999999997
100,-9.1005712,-2.0790097999999997,-3.8834334
110,-9.022118,-2.1966896,-3.7657536
120,-9.2574776,-2.2751428,-2.9027684
130,-9.1005712,-2.1966896,-3.8049801999999997
140,-9.1005712,-2.1966896,-4.158019599999999
150,-9.1790244,-2.2359162,-3.6088471999999996
160,-9.1790244,-2.2359162,-3.334261
170,-9.022118,-2.157463,-3.8442068
180,-8.9436648,-2.1966896,-3.8442068
190,-9.2967042,-2.2359162,-3.0989014
200,-9.1397978,-2.2751428,-3.8049801999999997
210,-9.1397978,-2.157463,-3.92266
220,-9.0613446,-2.3143694,-3.726527
230,-9.2574776,-2.1966896,-2.9027684
240,-9.0613446,-2.157463,-3.92266
250,-9.1005712,-2.1966896,-4.158019599999999
260,-9.1790244,-2.2751428,-3.4911673999999997
270,-9.1397978,-2.1966896,-3.2165812
280,-8.9828914,-2.1966896,-3.8834334
290,-8.9436648,-2.2751428,-3.8442068
300,-9.2967042,-2.157463,-3.2165812
310,-9.1790244,-2.2751428,-3.726527
320,-9.1790244,-2.2751428,-3.726527
330,-9.1397978,-2.0790097999999997,-3.92266
340,-8.9828914,-2.2359162,-3.7657536
350,-9.2967042,-2.157463,-2.9812215999999996
360,-9.0613446,-2.1966896,-4.0403398
370,-8.9828914,-2.1966896,-4.0403398
380,-9.1005712,-2.1966896,-3.6088471999999996
390,-9.218251,-2.157463,-3.138128
400,-9.022118,-2.2751428,-3.8442068
410,-9.022118,-2.2359162,-4.0011132
420,-9.2967042,-2.1966896,-3.2558078
430,-9.1005712,-2.1966896,-3.6480737999999997
440,-9.0613446,-2.1182364,-3.8834334
450,-9.0613446,-2.3535959999999996,-3.5696205999999995
460,-9.2967042,-2.1966896,-2.9812215999999996
470,-9.1005712,-2.1182364,-3.92266
480,-9.022118,-2.157463,-4.0795664
490,-9.1397978,-2.2751428,-3.2165812
500,-9.1790244,-2.1966896,-3.530394
510,-8.9436648,-2.2359162,-3.8049801999999997
520,-9.022118,-2.2359162,-3.92266
530,-9.3751574,-2.157463,-3.0204481999999997
540,-9.1005712,-2.1966896,-3.6480737999999997
550,-9.0613446,-2.157463,-4.0011132
560,-9.0613446,-2.3143694,-3.7657536
570,-9.3359308,-2.1966896,-2.9027684
580,-9.1005712,-2.157463,-4.0403398
590,-9.0613446,-2.1182364,-4.118792999999999
600,-9.1005712,-2.3143694,-3.4911673999999997
610,-9.218251,-2.2359162,-3.334261
620,-8.9828914,-2.2751428,-3.8442068
630,-9.0613446,-2.2751428,-3.9618866
640,-9.3359308,-2.2751428,-3.1773545999999997
650,-9.1790244,-2.1966896,-3.6480737999999997
660,-9.022118,-2.1966896,-3.8442068
670,-9.1005712,-2.2751428,-3.6480737999999997
680,-9.2967042,-2.157463,-3.138128
690,-9.1790244,-2.157463,-3.9618866
700,-9.0613446,-2.2359162,-4.118792999999999
710,-9.218251,-2.2359162,-3.2950344
720,-9.1790244,-2.1966896,-3.530394
730,-8.9436648,-2.3143694,-3.8834334
740,-9.0613446,-2.1966896,-3.92266
750,-9.3751574,-2.1966896,-3.0204481999999997
760,-9.1790244,-2.2359162,-3.6088471999999996
770,-8.9828914,-2.1966896,-3.8442068
780,-9.1005712,-2.2751428,-3.5696205999999995
790,-9.2967042,-2.157463,-3.1773545999999997
800,-9.1005712,-2.2359162,-4.0403398
810,-8.9828914,-2.2751428,-4.0011132
820,-8.9828914,-2.2751428,-4.0011132
830,-9.2967042,-2.1966896,-3.2950344
840,-9.1397978,-2.2359162,-3.4519407999999996
850,-9.0613446,-2.2751428,-4.0011132
860,-9.022118,-2.1966896,-3.8442068
870,-9.2574776,-2.1182364,-2.9812215999999996
880,-9.1397978,-2.1966896,-3.6088471999999996
890,-9.1005712,-2.1182364,-3.8834334
900,-9.022118,-2.2359162,-3.6480737999999997
910,-9.3751574,-2.1182364,-3.0989014
920,-9.1397978,-2.1966896,-4.0011132
930,-9.022118,-2.2359162,-3.9618866
940,-9.218251,-2.2751428,-3.2950344
950,-9.1790244,-2.2359162,-3.4127142
960,-9.0613446,-2.2751428,-4.0011132
970,-9.1397978,-2.1966896,-4.0011132
980,-9.3751574,-2.1182364,-3.0204481999999997
990,-9.1397978,-2.1966896,-3.6480737999999997

