timestamp,accX,accY,accZ
0,-9.1397978,-2.1182364,-4.0403398
10,-9.1397978,-2.1182364,-4.0403398
20,-9.1397978,-2.1966896,-3.9618866
30,-9.218251,-2.1966896,-2.941995
40,-9.1397978,-2.3928225999999997,-3.4911673999999997
50,-8.9828914,-2.1182364,-3.92266
60,-9.2574776,-2.0790097999999997,-3.530394
70,-9.218251,-2.3143694,-3.138128
80,-9.0613446,-2.157463,-4.0011132
90,-9.0613446,-2.157463,-3.8834334
100,-9.218251,-2.1966896,-3.2165812
110,-9.218251,-2.157463,-3.5696205999999995
120,-9.1005712,-2.1182364,-4.0403398
130,-9.1005712,-2.157463,-3.92266
140,-9.3359308,-2.2359162,-2.8635417999999997
150,-9.0613446,-2.1966896,-3.7657536
160,-9.0613446,-2.2359162,-4.118792999999999
170,-9.1397978,-2.3143694,-3.530394
180,-9.1790244,-2.2359162,-3.4127142
190,-9.022118,-2.157463,-3.8834334
200,-8.9436648,-2.2751428,-3.8834334
210,-9.3359308,-2.157463,-3.1773545999999997
220,-9.1397978,-2.3535959999999996,-3.6873004
230,-9.022118,-2.157463,-3.92266
240,-9.022118,-2.2751428,-3.6873004
250,-9.2967042,-2.2359162,-2.9812215999999996
260,-9.1790244,-2.157463,-4.0403398
270,-8.9828914,-2.2359162,-4.0403398
280,-9.1790244,-2.2359162,-3.3734876000000003
290,-9.1005712,-2.2359162,-3.4911673999999997
300,-9.022118,-2.1966896,-4.0011132
310,-9.1397978,-2.1966896,-4.0795664
320,-9.3359308,-2.157463,-3.0596748
330,-9.1005712,-2.2359162,-3.8049801999999997
340,-9.022118,-2.2359162,-3.8442068
350,-9.1005712,-2.2751428,-3.6088471999999996
360,-9.2967042,-2.1966896,-3.2165812
370,-9.0613446,-2.2359162,-4.0011132
380,-9.0613446,-2.1966896,-4.0011132
390,-9.218251,-2.2359162,-3.1773545999999997
400,-9.1005712,-2.2359162,-3.530394
410,-9.1005712,-2.1182364,-4.0795664
420,-9.1397978,-2.1182364,-3.92266
430,-9.2574776,-2.2359162,-2.9027684
440,-9.0613446,-2.1966896,-3.6088471999999996
450,-9.022118,-2.1182364,-4.0011132
460,-9.218251,-2.2359162,-3.7657536
470,-9.218251,-2.3143694,-3.1773545999999997
480,-9.0613446,-2.1966896,-3.9618866
490,-9.0613446,-2.2359162,-3.92266
500,-9.2574776,-2.2359162,-3.0989014
510,-9.2574776,-2.2359162,-3.0989014
520,-9.1005712,-2.2359162,-3.6873004
530,-9.0613446,-2.2359162,-4.0011132
540,-9.1005712,-2.3143694,-3.8049801999999997
550,-9.2967042,-2.2359162,-2.8635417999999997
560,-9.1005712,-2.157463,-3.9618866
570,-9.1005712,-2.1966896,-4.158019599999999
580,-9.1397978,-2.3535959999999996,-3.4127142
590,-9.218251,-2.2751428,-3.4127142
600,-9.0613446,-2.2359162,-3.8442068
610,-9.0613446,-2.3143694,-3.8442068
620,-9.3359308,-2.157463,-3.2165812
630,-9.0613446,-2.157463,-3.6873004
640,-9.0613446,-2.1966896,-3.8442068
650,-9.022118,-2.2751428,-3.6088471999999996
660,-9.2967042,-2.1182364,-3.0596748
670,-9.1005712,-2.2359162,-3.92266
680,-9.022118,-2.2359162,-4.0795664
690,-9.2574776,-2.157463,-3.2950344
700,-9.0613446,-2.3143694,-3.334261
710,-9.1005712,-2.2359162,-3.9618866
720,-9.1005712,-2.2359162,-3.9618866
730,-9.3359308,-2.1966896,-3.0204481999999997
740,-9.0613446,-2.3143694,-3.6873004
750,-8.9828914,-2.1966896,-3.8834334
760,-9.1790244,-2.1966896,-3.6873004
770,-9.2967042,-2.2359162,-3.2558078
780,-9.022118,-2.2359162,-3.9618866
790,-9.1005712,-2.1182364,-3.9618866
800,-9.218251,-2.1966896,-3.0989014
810,-9.218251,-2.1966896,-3.6088471999999996
820,-9.0613446,-2.1966896,-3.9618866
830,-9.1005712,-2.1966896,-3.8442068
840,-9.2574776,-2.3143694,-2.9027684
850,-9.0613446,-2.1966896,-3.6873004
860,-9.022118,-2.157463,-4.0795664
870,-9.1397978,-2.2359162,-3.5696205999999995
880,-9.218251,-2.1966896,-3.2558078
890,-9.022118,-2.157463,-3.8834334
900,-9.0613446,-2.2359162,-3.92266
910,-9.2967042,-2.2359162,-3.2558078
920,-9.1790244,-2.2359162,-3.6480737999999997
930,-9.022118,-2.157463,-3.92266
940,-9.1005712,-2.157463,-3.6480737999999997
950,-9.3359308,-2.157463,-3.0989014
960,-9.1790244,-2.157463,-4.0403398
970,-9.0613446,-2.2359162,-4.0011132
980,-9.2574776,-2.1966896,-3.2558078
990,-9.1790244,-2.1966896,-3.4519407999999996

