timestamp,accX,accY,accZ
0,-9.0613446,-2.2751428,-3.6088471999999996
10,-8.9828914,-2.2359162,-3.8834334
20,-9.022118,-2.2751428,-3.7657536
30,-9.3751574,-2.157463,-3.0596748
40,-9.1397978,-2.157463,-3.92266
50,-9.022118,-2.3143694,-4.0011132
60,-9.2574776,-2.157463,-3.2950344
70,-9.1397978,-2.2359162,-3.4519407999999996
80,-9.022118,-2.157463,-3.9618866
90,-9.0613446,-2.157463,-4.0795664
100,-9.3751574,-2.1182364,-2.9812215999999996
110,-9.218251,-2.3143694,-3.6480737999999997
120,-8.9436648,-2.2751428,-3.7657536
130,-9.0613446,-2.2359162,-3.6088471999999996
140,-9.3359308,-2.157463,-3.1773545999999997
150,-9.0613446,-2.157463,-4.0011132
160,-8.9828914,-2.1966896,-4.0403398
170,-9.218251,-2.1966896,-3.2558078
180,-9.0613446,-2.2751428,-3.4519407999999996
190,-9.1397978,-2.0790097999999997,-4.0403398
200,-9.1005712,-2.1966896,-3.92266
210,-9.3751574,-2.157463,-2.941995
220,-9.0613446,-2.2751428,-3.6480737999999997
230,-8.9828914,-2.1966896,-3.8834334
240,-9.1790244,-2.1966896,-3.6088471999999996
250,-9.218251,-2.2751428,-3.334261
260,-9.0613446,-2.2359162,-3.9618866
270,-9.1005712,-2.1182364,-3.92266
280,-9.2574776,-2.1966896,-3.0989014
290,-9.1790244,-2.2359162,-3.6088471999999996
300,-9.0613446,-2.1966896,-4.0403398
310,-9.1397978,-2.1182364,-3.8834334
320,-9.2574776,-2.2359162,-2.941995
330,-9.1005712,-2.3143694,-3.6480737999999997
340,-9.022118,-2.1966896,-4.0403398
350,-9.2574776,-2.1966896,-3.726527
360,-9.218251,-2.2751428,-3.1773545999999997
370,-9.1005712,-2.157463,-3.92266
380,-9.022118,-2.1966896,-3.8834334
390,-9.1790244,-2.2359162,-3.138128
400,-9.1790244,-2.2359162,-3.6873004
410,-9.1005712,-2.1966896,-3.9618866
420,-8.9828914,-2.2359162,-3.8049801999999997
430,-9.2967042,-2.2359162,-2.9027684
440,-9.1005712,-2.2359162,-3.8442068
450,-9.0613446,-2.2359162,-4.0795664
460,-9.1397978,-2.2359162,-3.4519407999999996
470,-9.1397978,-2.2359162,-3.4519407999999996
480,-9.218251,-2.2359162,-3.3734876000000003
490,-9.1005712,-2.157463,-3.8049801999999997
500,-9.022118,-2.2359162,-4.0011132
510,-9.3359308,-2.1966896,-3.0989014
520,-9.3359308,-2.1966896,-3.7657536
530,-9.218251,-2.0790097999999997,-3.92266
540,-9.1005712,-2.2751428,-3.8049801999999997
550,-9.1397978,-2.1966896,-2.8635417999999997
560,-9.1397978,-2.0790097999999997,-4.0795664
570,-9.0613446,-2.0790097999999997,-4.1972461999999995
580,-9.1397978,-2.2359162,-3.2950344
590,-9.1397978,-2.1182364,-3.2950344
600,-8.9436648,-2.3143694,-3.8049801999999997
610,-9.0613446,-2.1966896,-4.0011132
620,-9.2967042,-2.2359162,-3.138128
630,-9.1005712,-2.2751428,-3.6873004
640,-8.9828914,-2.1966896,-3.92266
650,-9.0613446,-2.1966896,-3.6873004
660,-9.3359308,-2.1182364,-3.0596748
670,-9.1397978,-2.1966896,-4.0403398
680,-9.022118,-2.2751428,-4.0011132
690,-9.218251,-2.2359162,-3.4127142
700,-9.1397978,-2.2359162,-3.4127142
710,-9.1005712,-2.2751428,-4.0011132
720,-9.1397978,-2.1966896,-3.92266
730,-9.2967042,-2.1966896,-2.9812215999999996
740,-9.1005712,-2.2359162,-3.726527
750,-9.022118,-2.157463,-3.92266
760,-9.1790244,-2.1966896,-3.6480737999999997
770,-9.3359308,-2.157463,-3.2165812
780,-9.0613446,-2.2359162,-4.0011132
790,-9.1005712,-2.157463,-4.0403398
800,-9.1790244,-2.2359162,-3.2165812
810,-9.0613446,-2.3143694,-3.4911673999999997
820,-9.1005712,-2.1966896,-4.0011132
830,-9.1005712,-2.2359162,-3.92266
840,-9.3751574,-2.1966896,-2.941995
850,-9.0613446,-2.2751428,-3.6480737999999997
860,-9.0613446,-2.157463,-4.0011132
870,-9.1790244,-2.1966896,-3.5696205999999995
880,-9.1790244,-2.2751428,-3.334261
890,-9.022118,-2.2359162,-4.0011132
900,-9.0613446,-2.157463,-3.92266
910,-9.218251,-2.1966896,-3.0596748
920,-9.1790244,-2.2359162,-3.6873004
930,-9.0613446,-2.1966896,-4.0795664
940,-9.1397978,-2.1182364,-4.0011132
950,-9.2967042,-2.2751428,-2.9027684
960,-9.1005712,-2.3143694,-3.6088471999999996
970,-9.1005712,-2.3143694,-3.6088471999999996
980,-9.022118,-2.1182364,-4.0795664
990,-9.218251,-2.2359162,-3.7657536

