timestamp,accX,accY,accZ
0,-9.022118,-2.1966896,-3.9618866
10,-9.218251,-2.2751428,-3.138128
20,-9.218251,-2.157463,-3.6873004
30,-9.1005712,-2.157463,-4.0011132
40,-9.1005712,-2.2751428,-3.8442068
50,-9.2574776,-2.2751428,-2.8635417999999997
60,-9.0613446,-2.157463,-3.8442068
70,-9.0613446,-2.157463,-4.118792999999999
80,-9.2574776,-2.2359162,-3.4911673999999997
90,-9.1005712,-2.3143694,-3.2950344
100,-9.1005712,-2.1182364,-3.8834334
110,-9.022118,-2.2359162,-3.92266
120,-9.2967042,-2.1966896,-3.1773545999999997
130,-9.1790244,-2.157463,-3.6480737999999997
140,-9.0613446,-2.157463,-3.8834334
150,-9.0613446,-2.157463,-3.8049801999999997
160,-9.2574776,-2.2359162,-2.8635417999999997
170,-9.1005712,-2.157463,-3.7657536
180,-9.1005712,-2.2359162,-4.0011132
190,-9.1005712,-2.3143694,-3.6480737999999997
200,-9.218251,-2.2359162,-3.2558078
210,-8.9828914,-2.2359162,-3.8442068
220,-8.9828914,-2.2359162,-3.8442068
230,-9.022118,-2.1966896,-3.8834334
240,-9.2574776,-2.2359162,-3.1773545999999997
250,-9.1397978,-2.3143694,-3.6873004
260,-9.1005712,-2.3143694,-3.8834334
270,-9.0613446,-2.2751428,-3.6088471999999996
280,-9.218251,-2.1966896,-2.9812215999999996
290,-9.1005712,-2.0397832,-3.9618866
300,-9.1790244,-2.1182364,-4.0011132
310,-9.1790244,-2.2751428,-3.4127142
320,-9.1397978,-2.3535959999999996,-3.4519407999999996
330,-9.0613446,-2.2751428,-3.8834334
340,-8.9828914,-2.3143694,-3.9618866
350,-9.2574776,-2.2359162,-3.138128
360,-9.1397978,-2.2751428,-3.7657536
370,-9.1005712,-2.157463,-3.8834334
380,-9.022118,-2.2751428,-3.8442068
390,-9.2967042,-2.2751428,-2.941995
400,-9.1005712,-2.157463,-3.8442068
410,-9.0613446,-2.157463,-4.0011132
420,-9.1005712,-2.2751428,-3.4911673999999997
430,-9.218251,-2.1966896,-3.2950344
440,-9.022118,-2.1966896,-3.92266
450,-8.9828914,-2.2751428,-3.9618866
460,-9.3359308,-2.1966896,-3.138128
470,-9.1005712,-2.2359162,-3.726527
480,-9.0613446,-2.1182364,-3.8442068
490,-9.0613446,-2.3143694,-3.6088471999999996
500,-9.2574776,-2.1966896,-2.9812215999999996
510,-9.1005712,-2.157463,-4.0403398
520,-9.0613446,-2.157463,-4.118792999999999
530,-9.1397978,-2.2751428,-3.4519407999999996
540,-9.218251,-2.1966896,-3.334261
550,-9.022118,-2.2751428,-3.8442068
560,-9.0613446,-2.2751428,-3.9618866
570,-9.2967042,-2.2751428,-3.2165812
580,-9.1790244,-2.2359162,-3.6088471999999996
590,-8.9436648,-2.2359162,-3.8834334
600,-9.0613446,-2.157463,-3.726527
610,-9.2967042,-2.157463,-3.0596748
620,-9.1397978,-2.157463,-4.0011132
630,-9.022118,-2.2359162,-4.0403398
640,-9.1790244,-2.2359162,-3.3734876000000003
650,-9.1790244,-2.1966896,-3.3734876000000003
660,-8.9828914,-2.2359162,-3.92266
670,-9.1005712,-2.2359162,-4.0403398
680,-9.3359308,-2.157463,-3.0989014
690,-9.1397978,-2.1966896,-3.726527
700,-8.9828914,-2.2751428,-3.8442068
710,-8.9828914,-2.2751428,-3.8442068
720,-9.1397978,-2.2751428,-3.6480737999999997
730,-9.3359308,-2.1182364,-3.2558078
740,-9.1005712,-2.2359162,-3.9618866
750,-8.9828914,-2.2751428,-4.0403398
760,-9.2574776,-2.1182364,-3.3734876000000003
770,-9.1790244,-2.3143694,-3.4127142
780,-9.0613446,-2.2359162,-4.0011132
790,-9.0613446,-2.2359162,-4.118792999999999
800,-9.3359308,-2.1182364,-3.0204481999999997
810,-9.1005712,-2.1966896,-3.6480737999999997
820,-8.9828914,-2.2359162,-3.92266
830,-9.1005712,-2.1966896,-3.7657536
840,-9.414383999999998,-2.0790097999999997,-3.138128
850,-9.1005712,-2.1966896,-3.9618866
860,-8.9828914,-2.1966896,-4.0795664
870,-9.218251,-2.157463,-3.2165812
880,-9.1397978,-2.2359162,-3.3734876000000003
890,-9.1005712,-2.1966896,-4.0403398
900,-9.022118,-2.2359162,-3.9618866
910,-9.3359308,-2.1182364,-3.0596748
920,-9.0613446,-2.3143694,-3.6088471999999996
930,-9.022118,-2.157463,-3.8834334
940,-9.1397978,-2.1966896,-3.6873004
950,-9.3751574,-2.1966896,-3.2950344
960,-9.0613446,-2.1966896,-3.92266
970,-9.0613446,-2.1966896,-3.9618866
980,-9.2574776,-2.2751428,-3.2165812
990,-9.0613446,-2.2751428,-3.5696205999999995

