timestamp,accX,accY,accZ
0,-9.1790244,-2.2359162,-3.6088471999999996
10,-9.1397978,-2.2359162,-3.6873004
20,-9.1397978,-2.1966896,-3.726527
30,-9.2967042,-2.1182364,-3.6480737999999997
40,-9.1005712,-2.2359162,-3.6873004
50,-9.1790244,-2.157463,-3.530394
60,-9.1790244,-2.1966896,-3.6088471999999996
70,-9.1790244,-2.1966896,-3.6088471999999996
80,-9.1397978,-2.2359162,-3.6480737999999997
90,-9.1397978,-2.157463,-3.6088471999999996
100,-9.218251,-2.1966896,-3.6480737999999997
110,-9.1397978,-2.2359162,-3.530394
120,-9.2574776,-2.157463,-3.530394
130,-9.1790244,-2.1966896,-3.6088471999999996
140,-9.1005712,-2.2359162,-3.6873004
150,-9.1397978,-2.2359162,-3.6480737999999997
160,-9.1397978,-2.2751428,-3.6480737999999997
170,-9.0613446,-2.2359162,-3.6088471999999996
180,-9.1005712,-2.2751428,-3.6088471999999996
190,-9.1790244,-2.2359162,-3.6480737999999997
200,-9.1397978,-2.2359162,-3.6873004
210,-9.1397978,-2.1966896,-3.6480737999999997
220,-9.1790244,-2.2359162,-3.6873004
230,-9.1790244,-2.1966896,-3.6480737999999997
240,-9.0613446,-2.2359162,-3.6480737999999997
250,-9.1005712,-2.1966896,-3.5696205999999995
260,-9.1397978,-2.2751428,-3.6873004
270,-9.1397978,-2.2359162,-3.6088471999999996
280,-9.1397978,-2.2751428,-3.6480737999999997
290,-9.1005712,-2.2751428,-3.6873004
300,-9.1397978,-2.2359162,-3.6873004
310,-9.1790244,-2.1966896,-3.6088471999999996
320,-9.1397978,-2.1966896,-3.6480737999999997
330,-9.1790244,-2.2359162,-3.6480737999999997
340,-9.1397978,-2.2359162,-3.6088471999999996
350,-9.1397978,-2.2751428,-3.6088471999999996
360,-9.1397978,-2.1966896,-3.6480737999999997
370,-9.1005712,-2.1966896,-3.6873004
380,-9.1790244,-2.2751428,-3.6480737999999997
390,-9.1397978,-2.2359162,-3.6480737999999997
400,-9.1397978,-2.2359162,-3.6480737999999997
410,-9.1790244,-2.2751428,-3.6088471999999996
420,-9.1397978,-2.2751428,-3.6480737999999997
430,-9.1397978,-2.2359162,-3.6088471999999996
440,-9.1397978,-2.2359162,-3.6873004
450,-9.1397978,-2.2359162,-3.6480737999999997
460,-9.1397978,-2.2359162,-3.6088471999999996
470,-9.1397978,-2.2359162,-3.6088471999999996
480,-9.1790244,-2.1966896,-3.6088471999999996
490,-9.1790244,-2.1966896,-3.6088471999999996
500,-9.1005712,-2.157463,-3.6088471999999996
510,-9.1397978,-2.3143694,-3.726527
520,-9.1397978,-2.1966896,-3.6480737999999997
530,-9.218251,-2.2751428,-3.6873004
540,-9.022118,-2.3535959999999996,-3.6088471999999996
550,-9.1790244,-2.1966896,-3.5696205999999995
560,-9.1397978,-2.1966896,-3.6088471999999996
570,-9.1397978,-2.2359162,-3.6088471999999996
580,-9.1397978,-2.2359162,-3.5696205999999995
590,-9.1790244,-2.2359162,-3.530394
600,-9.1790244,-2.157463,-3.5696205999999995
610,-9.1005712,-2.1966896,-3.6873004
620,-9.218251,-2.157463,-3.6480737999999997
630,-9.1397978,-2.2359162,-3.5696205999999995
640,-9.1397978,-2.2359162,-3.6480737999999997
650,-9.1005712,-2.2359162,-3.6480737999999997
660,-9.1790244,-2.1966896,-3.6480737999999997
670,-9.1397978,-2.1966896,-3.6480737999999997
680,-9.1005712,-2.2751428,-3.6873004
690,-9.1790244,-2.1966896,-3.6480737999999997
700,-9.1005712,-2.1966896,-3.6088471999999996
710,-9.1790244,-2.1966896,-3.6480737999999997
720,-9.1005712,-2.1966896,-3.6480737999999997
730,-9.1397978,-2.2359162,-3.726527
740,-9.1005712,-2.2359162,-3.6088471999999996
750,-9.1397978,-2.1966896,-3.6873004
760,-9.1790244,-2.1966896,-3.726527
770,-9.1397978,-2.1966896,-3.6480737999999997
780,-9.1005712,-2.2359162,-3.6873004
790,-9.1005712,-2.2751428,-3.5696205999999995
800,-9.1397978,-2.1966896,-3.6088471999999996
810,-9.1397978,-2.1966896,-3.6480737999999997
820,-9.1397978,-2.2359162,-3.6480737999999997
830,-9.1790244,-2.1966896,-3.6480737999999997
840,-9.1397978,-2.2359162,-3.6480737999999997
850,-9.1005712,-2.2359162,-3.6480737999999997
860,-9.1397978,-2.1966896,-3.6480737999999997
870,-9.1397978,-2.2359162,-3.5696205999999995
880,-9.1790244,-2.1966896,-3.6480737999999997
890,-9.1005712,-2.2359162,-3.6088471999999996
900,-9.1397978,-2.2359162,-3.6480737999999997
910,-9.1005712,-2.2359162,-3.6480737999999997
920,-9.1005712,-2.2359162,-3.6480737999999997
930,-9.1397978,-2.2359162,-3.6480737999999997
940,-9.1397978,-2.2359162,-3.6480737999999997
950,-9.1397978,-2.2359162,-3.6873004
960,-9.1005712,-2.2751428,-3.6873004
970,-9.1790244,-2.1966896,-3.6480737999999997
980,-9.1790244,-2.2359162,-3.6480737999999997
990,-9.1397978,-2.2751428,-3.6480737999999997

